	precision	recall	f1-score	support
root:Engineered:Bioreactor	0.619	0.591	0.605	22
root:Engineered:Bioremediation:Terephthalate:Wastewater	0.75	1.0	0.857	9
root:Engineered:Built environment	0.333	1.0	0.5	9
root:Engineered:Food production	0.333	0.8	0.471	5
root:Engineered:Food production:Dairy products	0.8	1.0	0.889	4
root:Engineered:Food production:Fermented beverages	1.0	1.0	1.0	6
root:Engineered:Solid waste:Composting	0.75	0.75	0.75	4
root:Engineered:Wastewater	0.963	0.867	0.912	30
root:Engineered:Wastewater:Activated Sludge	0.667	1.0	0.8	10
root:Engineered:Wastewater:Water and sludge	0.692	1.0	0.818	9
root:Environmental:Aquatic:Estuary	0.5	0.333	0.4	3
root:Environmental:Aquatic:Estuary:Sediment	1.0	0.667	0.8	3
root:Environmental:Aquatic:Freshwater:Lake	0.625	1.0	0.769	5
root:Environmental:Aquatic:Freshwater:Sediment	0.8	1.0	0.889	4
root:Environmental:Aquatic:Lentic:Brackish	0.231	1.0	0.375	9
root:Environmental:Aquatic:Marine	0.974	0.547	0.7	139
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary	0.5	0.8	0.615	5
root:Environmental:Aquatic:Marine:Oceanic	0.63	0.971	0.764	35
root:Environmental:Aquatic:Marine:Sediment	0.375	0.857	0.522	7
root:Environmental:Aquatic:Non-marine Saline and Alkaline:Salt crystallizer pond	1.0	1.0	1.0	4
root:Environmental:Terrestrial:Soil	0.765	0.929	0.839	28
root:Host-associated:Animal:Digestive system:Fecal	0.683	0.896	0.775	48
root:Host-associated:Birds	0.364	1.0	0.533	4
root:Host-associated:Birds:Digestive system	0.556	1.0	0.714	5
root:Host-associated:Birds:Digestive system:Ceca	0.5	1.0	0.667	7
root:Host-associated:Human	0.329	0.833	0.472	30
root:Host-associated:Human:Digestive system	0.826	0.641	0.722	362
root:Host-associated:Human:Digestive system:Intestine	0.257	0.974	0.406	39
root:Host-associated:Human:Digestive system:Large intestine	0.242	0.748	0.366	127
root:Host-associated:Human:Digestive system:Large intestine:Fecal	0.962	0.464	0.626	1477
root:Host-associated:Human:Digestive system:Large intestine:Sigmoid colon	0.174	0.875	0.29	40
root:Host-associated:Human:Digestive system:Oral	0.244	0.786	0.373	14
root:Host-associated:Human:Digestive system:Oral:Saliva	0.7	0.875	0.778	8
root:Host-associated:Human:Skin	0.933	0.974	0.953	273
root:Host-associated:Human:Skin:Naris	0.923	1.0	0.96	12
root:Host-associated:Mammals	0.667	1.0	0.8	4
root:Host-associated:Mammals:Digestive system	0.441	0.882	0.588	17
root:Host-associated:Mammals:Digestive system:Fecal	0.14	0.636	0.23	22
root:Host-associated:Mammals:Digestive system:Foregut:Rumen	0.333	1.0	0.5	18
root:Host-associated:Mammals:Digestive system:Large intestine	1.0	0.941	0.97	17
root:Host-associated:Mammals:Digestive system:Large intestine:Fecal	0.462	1.0	0.632	6
root:Host-associated:Mammals:Digestive system:Stomach:Rumen	1.0	1.0	1.0	4
root:Host-associated:Mammals:Gastrointestinal tract:Intestine:Fecal	0.88	1.0	0.936	22
root:Host-associated:Mammals:Respiratory system	1.0	1.0	1.0	6
root:Host-associated:Plants	0.8	0.667	0.727	6
root:Host-associated:Plants:Phylloplane	1.0	1.0	1.0	4
root:Host-associated:Plants:Rhizosphere	1.0	1.0	1.0	14
root:Mixed:Sediment:Sediment:Sediment	0.975	0.99	0.983	199
accuracy	0.655	0.655	0.655	0
macro avg	0.66	0.881	0.714	3135
weighted avg	0.848	0.655	0.688	3135
